Comment appelle-t-on la coalition gouvernementale fédérale formée en février 2025 en Belgique ?,La coalition Arizona.
Quelle région belge supporte environ $45$ % de l'impact national des nouveaux bénéficiaires du RIS ?,La Wallonie.
À combien s'élève le coût net estimé pour les CPAS de la Région de Bruxelles-Capitale en 2026 ?,"$42,8$ millions d'euros."
"En Belgique, l'État fédéral rembourse généralement entre _____ % et $70$ % du montant du RIS versé par les communes.",$55$ %.
Que signifie l'acronyme RIS ?,Revenu d'Intégration Sociale.
Comment appelle-t-on le contrat obligatoire entre un bénéficiaire du RIS et le CPAS ?,Le PIIS (Projet Individualisé d'Intégration Sociale).
Combien d'équivalents temps plein (ETP) d'assistants sociaux supplémentaires sont jugés nécessaires pour Bruxelles ?,$240$.
Quel est le montant du subside annuel supplémentaire promis par le fédéral aux CPAS par dossier d'exclu du chômage ?,$518$ euros.
Que signifie l'acronyme BIM dans le système de santé belge ?,Bénéficiaire de l'Intervention Majorée.
"En 2025, quel est le plafond de revenus annuels brut pour un ménage isolé demandant le statut BIM ?","$27\ 370,91$ euros."
Le statut BIM est désormais octroyé _____ aux isolés au chômage ou en incapacité depuis plus de 3 mois.,automatiquement.
"À partir du 1er janvier 2026, les _____ d'honoraires sont interdits pour les patients BIM en ambulatoire.",suppléments.
Cette interdiction des suppléments d'honoraires s'applique aux médecins conventionnés et _____.,non conventionnés.
Quel est le montant total du budget de l'assurance soins de santé pour l'année 2026 ?,"$46,775$ milliards d'euros."
"En 2026, le ticket modérateur pour les médicaments remboursés passe à _____ euro(s) par boîte pour les patients BIM.",$1$.
"Le gouvernement prévoit d'économiser $87,2$ millions d'euros en réformant le remboursement des statines et des _____.",IPP (inhibiteurs de la pompe à protons).
Quel pourcentage du coût des médicaments à l'hôpital reste à charge de l'établissement en 2026 ?,$22$ %.
Après combien de semaines d'incapacité de travail le « Trajet Retour au Travail » peut-il débuter ?,$10$ semaines.
Quelle est la sanction financière (en %) sur l'indemnité journalière pour un malade jugé non coopérant ?,"$2,5$ %."
Le délai d'attente pour entamer une procédure de force majeure médicale a été réduit de 9 mois à _____ mois.,$6$.
Quelle amende (contribution) l'employeur doit-il verser au Fonds Retour au Travail s'il initie une force majeure médicale ?,$1\ 800$ euros.
Quel pourcentage d'étudiants belges déclarent des difficultés financières pour se nourrir en 2026 ?,$58$ %.
Quel est le prix moyen d'un kot (loyer + charges) en Belgique en 2025 ?,$590$ euros.
Le contingent d'heures de travail étudiant à cotisations réduites a été porté à _____ heures par an.,$650$.
Comment appelle-t-on le mécanisme fiscal visant à augmenter le salaire net des bas salaires sans alourdir le coût brut ?,Le bonus à l'emploi fiscal.
"Quel article de la Constitution belge, garantissant le droit à une vie digne, est utilisé pour contester les réformes ?",L'article $23$.
Comment appelle-t-on l'obligation de ne pas réduire le niveau de protection sociale existant ?,Le principe de standstill (ou effet cliquet).
À quelle date s'est tenue la manifestation nationale massive contre la réforme du chômage en 2025 ?,Le 28 avril 2025.
Quel parti politique propose une « taxe des millionnaires » comme alternative aux coupes budgétaires ?,Le PTB.
Le système de financement des CPAS basé sur les résultats de mise à l'emploi est appelé le système _____.,bonus-malus.
"Selon l'IWEPS, quel facteur alimente le non-recours aux droits (non-take-up) ?",La digitalisation forcée des services publics.
Combien d'étudiants se sont retrouvés « non-finançables » suite au durcissement du Décret Paysage en 2025-2026 ?,$15\ 000$.
Quelle mutuelle a qualifié les réformes sur les médicaments de « taxe santé » ?,Solidaris.
Dans quelle ville les syndicats ont-ils organisé des séances d'urgence pour expliquer la réforme du chômage ?,"Charleroi (ou Liège, Bruxelles)."
La réforme Arizona transfère le risque social de l'État fédéral vers les _____ et les individus.,entités locales (ou CPAS).
"Quelle est la part du RIS à charge de la commune pour chaque bénéficiaire, en moyenne ?",Entre $30$ % et $45$ %.
Quel seuil de revenus nets un étudiant ne doit-il pas dépasser pour rester fiscalement à charge de ses parents ?,Environ $4\ 100$ € à $7\ 500$ € (selon la composition familiale).
Que signifie l'acronyme AROPE dans les statistiques de pauvreté ?,At Risk of Poverty or Social Exclusion.
Le gouvernement prévoit une hausse de _____ points de pourcentage du PIB pour le coût du vieillissement d'ici 2070.,"$1,7$."
Quelle plateforme numérique centralise désormais les avantages sociaux en Belgique ?,MyBenefits.
Quel terme désigne les travailleurs dont le revenu reste sous le seuil de pauvreté ?,Les « working poor » (ou travailleurs pauvres).
Quel organisme a introduit un recours en annulation contre la limitation du chômage le 29 octobre 2025 ?,Le front commun syndical et associatif.
La suppression de la gratuité de certains médicaments vitaux doit générer _____ millions d'euros d'économie.,"$26,2$."
"Pour les chômeurs en formation pour un métier en _____, les allocations peuvent être maintenues temporairement.",pénurie.
Le prix moyen d'un kot à Bruxelles dépasse souvent les _____ euros en 2025.,$695$.
Quelle association étudiante dénonce la normalisation du travail salarié durant les études ?,La FEF (Fédération des Étudiant·e·s Francophones).
"En 2026, l'indemnité de maladie peut être supprimée si un malade refuse de s'inscrire au _____.",Forem (ou Actiris/VDAB).
L'analyse qualifie le modèle Arizona de glissement d'une logique d'assurance vers une logique d'_____ conditionnelle.,assistance.
Quel est l'impact financier net estimé pour les communes bruxelloises en année pleine ?,$80$ millions d'euros.
Quel service fédéral gère l'intégration sociale et le financement des CPAS ?,Le SPP Intégration Sociale.
Le budget pharma 2026 prévoit une économie totale de _____ millions d'euros sur les médicaments.,$105$ (ou $228$ selon l'analyse globale).
Comment s'appelle le plan wallon 2025-2029 visant à contrer les réformes fédérales ?,Le Plan Pauvreté Wallon.
Quelle autorité juge de la constitutionnalité des lois restreignant les droits sociaux en Belgique ?,La Cour constitutionnelle.
L'extension de l'octroi automatique du BIM vise à lutter contre le phénomène du _____.,non-recours aux droits (take-up).
Le ticket modérateur minimum pour les non-BIM passe à _____ euros par boîte de médicaments en 2026.,$2$.
Combien de chômeurs indemnisés sont potentiellement impactés à terme par la limitation à deux ans ?,$90\ 000$.
Le gouvernement prévoit que le travail doit rapporter _____ que l'inactivité.,plus.
Quelle est la condition de carrière pour un docker afin d'échapper à la limitation du chômage ?,Aucune (ils bénéficient d'un statut spécial d'exemption).
La « falaise fiscale » se produit lorsqu'une légère hausse de revenus entraîne la _____ du statut BIM.,perte.
